 Days: 		          Momento:
 
 2887                 18 
  822                 17 
 1993                 31 
 1361                 12 
 4985                165 
 293                  205 
 4985                 3769 
 4620                 5 
 2107                 185 
 1534                 270 
 4227                 7179 
 2885                 427 
